Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,134.830002,135.059998,133.559998,134.720001,133.924026,66905100
2021-04-27,135.009995,135.410004,134.110001,134.389999,133.595978,66015800
2021-04-28,134.309998,135.020004,133.080002,133.580002,132.790756,107760100
2021-04-29,136.470001,137.070007,132.449997,133.479996,132.691345,151101000
2021-04-30,131.779999,133.559998,131.070007,131.460007,130.683289,109839500
2021-05-03,132.039993,134.070007,131.830002,132.539993,131.756897,75135100
2021-05-04,131.190002,131.490005,126.699997,127.849998,127.094612,137564700
2021-05-05,129.199997,130.449997,127.970001,128.100006,127.343132,84000900
2021-05-06,127.889999,129.750000,127.129997,129.740005,128.973450,78128300
2021-05-07,130.850006,131.259995,129.479996,130.210007,129.660538,78973300
2021-05-10,129.410004,129.539993,126.809998,126.849998,126.314705,88071200
2021-05-11,123.500000,126.269997,122.769997,125.910004,125.378685,126142800
2021-05-12,123.400002,124.639999,122.250000,122.769997,122.251930,112172300
2021-05-13,124.580002,126.150002,124.260002,124.970001,124.442650,105861300
2021-05-14,126.250000,127.889999,125.849998,127.449997,126.912178,81918000
2021-05-17,126.820000,126.930000,125.169998,126.269997,125.737152,74244600
2021-05-18,126.559998,126.989998,124.779999,124.849998,124.323158,63342900
2021-05-19,123.160004,124.919998,122.860001,124.690002,124.163826,92612000
2021-05-20,125.230003,127.720001,125.099998,127.309998,126.772766,76857100
2021-05-21,127.820000,128.000000,125.209999,125.430000,124.900703,79295400
2021-05-24,126.010002,127.940002,125.940002,127.099998,126.563652,63092900
2021-05-25,127.820000,128.320007,126.320000,126.900002,126.364502,72009500
2021-05-26,126.959999,127.389999,126.419998,126.849998,126.314705,56575900
2021-05-27,126.440002,127.639999,125.080002,125.279999,124.751335,94625600
2021-05-28,125.570000,125.800003,124.550003,124.610001,124.084160,71311100
2021-06-01,125.080002,125.349998,123.940002,124.279999,123.755547,67637100
2021-06-02,124.279999,125.239998,124.050003,125.059998,124.532265,59278900
2021-06-03,124.680000,124.849998,123.129997,123.540001,123.018684,76229200
2021-06-04,124.070000,126.160004,123.849998,125.889999,125.358765,75169300
2021-06-07,126.169998,126.320000,124.830002,125.900002,125.368729,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,126.205177,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,126.593529,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,125.577843,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,126.812592,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,129.929382,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,129.092941,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,129.600784,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,131.233856,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,129.909485,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,131.741714,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,133.414612,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,133.135803,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,132.847031,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,132.548294,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,134.211243,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,135.754700,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,136.382050,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,136.690750,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,139.369400,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,141.420715,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,143.959946,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,142.635544,105575500
2021-07-09,142.750000,145.649994,142.649994,145.110001,144.497650,99890800
2021-07-12,146.210007,146.320007,144.000000,144.500000,143.890228,76299700
2021-07-13,144.029999,147.460007,143.630005,145.639999,145.025421,100827100
2021-07-14,148.100006,149.570007,147.679993,149.149994,148.520599,127050800
2021-07-15,149.240005,150.000000,147.089996,148.479996,147.853439,106820300
2021-07-16,148.460007,149.759995,145.880005,146.389999,145.772247,93251400
2021-07-19,143.750000,144.070007,141.669998,142.449997,141.848892,121434600
2021-07-20,143.460007,147.100006,142.960007,146.149994,145.533264,96350000
2021-07-21,145.529999,146.130005,144.630005,145.399994,144.786438,74993500
2021-07-22,145.940002,148.199997,145.809998,146.800003,146.180527,77338200
2021-07-23,147.550003,148.720001,146.919998,148.559998,147.933105,71447400
2021-07-26,148.270004,149.830002,147.699997,148.990005,148.361298,72434100
2021-07-27,149.119995,149.210007,145.550003,146.770004,146.150650,104818600
2021-07-28,144.809998,146.970001,142.539993,144.979996,144.368210,118931200
2021-07-29,144.690002,146.550003,144.580002,145.639999,145.025421,56699500
2021-07-30,144.380005,146.330002,144.110001,145.860001,145.244492,70440600
2021-08-02,146.360001,146.949997,145.250000,145.520004,144.905930,62880000
2021-08-03,145.809998,148.039993,145.179993,147.360001,146.738159,64786600
2021-08-04,147.270004,147.789993,146.279999,146.949997,146.329895,56368300
2021-08-05,146.979996,147.839996,146.169998,147.059998,146.439423,46397700
2021-08-06,146.350006,147.110001,145.630005,146.139999,145.741333,54126800
2021-08-09,146.199997,146.699997,145.520004,146.089996,145.691467,48908700
2021-08-10,146.440002,147.710007,145.300003,145.600006,145.202820,69023100
2021-08-11,146.050003,146.720001,145.529999,145.860001,145.462112,48493500
2021-08-12,146.190002,149.050003,145.839996,148.889999,148.483841,72282600
2021-08-13,148.970001,149.440002,148.270004,149.100006,148.693268,59375000
2021-08-16,148.539993,151.190002,146.470001,151.119995,150.707748,103296000
2021-08-17,150.229996,151.679993,149.089996,150.190002,149.780304,92229700
2021-08-18,149.800003,150.720001,146.149994,146.360001,145.960739,86326000
2021-08-19,145.029999,148.000000,144.500000,146.699997,146.299820,86960300
2021-08-20,147.440002,148.500000,146.779999,148.190002,147.785751,60549600
2021-08-23,148.309998,150.190002,147.889999,149.710007,149.301620,60131800
2021-08-24,149.449997,150.860001,149.149994,149.619995,149.211838,48606400
2021-08-25,149.809998,150.320007,147.800003,148.360001,147.955276,58991300
2021-08-26,148.350006,149.119995,147.509995,147.539993,147.137527,48597200
2021-08-27,147.479996,148.750000,146.830002,148.600006,148.194641,55802400
2021-08-30,149.000000,153.490005,148.610001,153.119995,152.702286,90956700
2021-08-31,152.660004,152.800003,151.289993,151.830002,151.415817,86453100
2021-09-01,152.830002,154.979996,152.339996,152.509995,152.093964,80313700
2021-09-02,153.869995,154.720001,152.399994,153.649994,153.230850,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,153.879089,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,156.262573,82278300
2021-09-08,156.979996,157.039993,153.979996,155.110001,154.686874,74420200
2021-09-09,155.490005,156.110001,153.949997,154.070007,153.649719,57305700
2021-09-10,155.000000,155.479996,148.699997,148.970001,148.563614,140893200
2021-09-13,150.630005,151.419998,148.750000,149.550003,149.142044,102404300
2021-09-14,150.350006,151.070007,146.910004,148.119995,147.715927,109296300
2021-09-15,148.559998,149.440002,146.369995,149.029999,148.623459,83281300
2021-09-16,148.440002,148.970001,147.220001,148.789993,148.384094,68034100
2021-09-17,148.820007,148.820007,145.759995,146.059998,145.661560,129868800
2021-09-20,143.800003,144.839996,141.270004,142.940002,142.550064,123478900
2021-09-21,143.929993,144.600006,142.779999,143.429993,143.038727,75834000
